epoch,train_loss,train_acc
1,1.3881967548288245,0.25048923679060664
2,1.387094120690034,0.25048923679060664
3,1.3918490101913183,0.30332681017612523
4,1.3803873230099912,0.273972602739726
5,1.2580356784529416,0.5088062622309197
6,0.38728770164594256,0.8238747553816047
7,0.05675395489205586,0.9902152641878669
8,0.028418539409068234,0.9921722113502935
9,0.010384869931262067,1.0
10,0.010553451885565853,0.9980430528375733
11,0.00872965239411231,0.9980430528375733
12,0.006485139951109886,0.9980430528375733
13,0.008325924065306696,0.9980430528375733
14,0.03246465602565243,0.9863013698630136
15,0.009545700063240039,0.9960861056751468
16,0.00315664938620042,1.0
17,0.0016753211500826646,1.0
18,0.0027413299423870276,1.0
19,0.0015602172069878494,1.0
20,0.0005029609184001377,1.0
21,0.0007172844294320114,1.0
22,0.0002041080109538135,1.0
23,0.00042948724794039347,1.0
24,0.00019496963840112848,1.0
25,0.00016265682438242662,1.0
26,0.00010388513009561455,1.0
27,0.00012545625338833888,1.0
28,0.00011958163473099004,1.0
29,0.00019863440423708139,1.0
30,0.00040622762326468254,1.0
31,0.0013678862208431248,1.0
32,0.0005763145219470846,1.0
33,0.00017903033229786677,1.0
34,0.003853063906247704,1.0
35,0.00020009151558754437,1.0
36,0.002470233192309234,1.0
37,0.0013854667417242132,1.0
38,0.0016783457937415273,1.0
39,0.0005420265810877639,1.0
40,0.0033198756104519268,1.0
41,0.00036176732491151434,1.0
42,0.0019319760354142134,1.0
43,0.02075047598907509,0.9941291585127201
44,0.00012401229092492923,1.0
45,8.90448581303858e-05,1.0
46,0.0004836429487900178,1.0
47,0.001405337518374955,1.0
48,0.017674159431290574,0.9941291585127201
49,0.0004782584678553001,1.0
50,0.0006193867694347762,1.0
