number,value,datetime_start,datetime_complete,duration,params_algorithm,params_batch_size,params_d_model,params_depth_multiplier,params_dropout,params_irm_lambda,params_kernel_length,params_lr,params_mixup_alpha,params_n_filters_1,params_n_filters_2,params_n_head,params_n_layers,params_net_architecture,params_weight_decay,state
40,0.6470588235294118,2025-06-12 22:23:14.643246,2025-06-12 22:31:53.377153,0 days 00:08:38.733907,IRM,32,128,,0.26681103055528443,0.16438550409720518,64,0.0001415929653669123,,32,64,2,3,eegnet,4.883861255289143e-05,PRUNED
51,0.5882352941176471,2025-06-12 23:34:52.798644,2025-06-12 23:41:17.407234,0 days 00:06:24.608590,IRM,32,128,,0.23850818129218432,0.4984050862994527,32,0.001600629355688423,,32,64,4,2,eegnet,1.4885653065704188e-06,PRUNED
53,0.3431372549019608,2025-06-12 23:42:10.347603,2025-06-12 23:47:43.748064,0 days 00:05:33.400461,IRM,32,128,,0.28086874784776045,0.13551213864726058,64,0.00010004838673684681,,32,64,2,3,eegnet,0.0005802879508008327,PRUNED
71,0.3137254901960784,2025-06-13 02:27:43.183159,2025-06-13 02:33:40.668138,0 days 00:05:57.484979,ERM,32,64,,0.318536994041172,,32,0.0003304471393356938,,32,64,4,3,eegnet,8.526421840085931e-06,PRUNED
65,0.29411764705882354,2025-06-13 01:38:00.137784,2025-06-13 01:44:01.995693,0 days 00:06:01.857909,IRM,32,128,,0.2863508515818351,0.23841027722867336,32,0.0002868295066608715,,32,64,2,3,eegnet,6.29567014211728e-05,PRUNED
38,0.29411764705882354,2025-06-12 22:16:45.560485,2025-06-12 22:22:46.333872,0 days 00:06:00.773387,IRM,32,128,,0.22763883070702307,0.282837643689026,32,0.00030297049993198086,,32,64,2,3,eegnet,5.157158577409488e-05,PRUNED
2,0.28431372549019607,2025-06-12 10:18:00.958119,2025-06-12 10:25:25.025444,0 days 00:07:24.067325,IRM,32,128,,0.491955094284832,0.471106516452198,64,0.004099531802739059,,16,32,2,2,meegnet,0.00012546646572924078,COMPLETE
61,0.28431372549019607,2025-06-13 01:04:33.207099,2025-06-13 01:11:44.029187,0 days 00:07:10.822088,IRM,64,128,,0.3846081530381852,5.059332256306947,32,0.0005494063773684027,,32,64,2,3,eegnet,3.4342951956251174e-06,PRUNED
8,0.28431372549019607,2025-06-12 11:16:01.374508,2025-06-12 11:26:42.648328,0 days 00:10:41.273820,Mixup,32,128,,0.38791806008353225,,64,0.00023270634588433162,0.27644869465512834,16,32,2,1,attention,0.00014558099441717767,PRUNED
7,0.28431372549019607,2025-06-12 11:11:45.031600,2025-06-12 11:16:01.322038,0 days 00:04:16.290438,Mixup,32,64,,0.171171602136377,,32,0.002698876934647104,0.1365186790667884,8,64,2,2,attention,2.5586292204056543e-06,COMPLETE
5,0.28431372549019607,2025-06-12 11:02:55.749463,2025-06-12 11:11:17.367604,0 days 00:08:21.618141,IRM,32,64,,0.2850410855830228,0.3377028858210393,32,0.005406601182133646,,16,16,4,3,meegnet,0.00014809654357105206,COMPLETE
