number,value,datetime_start,datetime_complete,duration,params_algorithm,params_attn_d_model,params_attn_n_head,params_attn_n_layers,params_batch_size,params_coral_lambda,params_dro_eta,params_dropout,params_eegnet_depth_multiplier,params_eegnet_kernel_length,params_eegnet_n_filters_1,params_irm_lambda,params_lr,params_meegnet_n_filters_1,params_meegnet_n_filters_2,params_mixup_alpha,params_mmd_lambda,params_net_architecture,params_weight_decay,state
16,0.25,2025-06-13 19:31:24.235080,2025-06-13 19:43:19.084930,0 days 00:11:54.849850,CORAL,128,2,2,128,0.23558783864160687,0.04162383652823574,0.3447713859007018,2,64,32,0.6053709283568113,0.003344948357456198,16,32,0.4368430158065269,0.24001793478187686,eegnet,8.746292688069132e-05,PRUNED
2,0.25,2025-06-13 18:05:17.525933,2025-06-13 18:08:58.226178,0 days 00:03:40.700245,Mixup,64,2,1,32,2.0008663876093054,0.02886728892148179,0.2863808581274561,2,32,16,0.8905864259398166,0.00012523276471949378,64,32,0.10517761541969183,0.2889800698242364,attention,0.0005713170429250228,COMPLETE
149,0.25,2025-06-14 06:15:13.973535,2025-06-14 06:16:16.249218,0 days 00:01:02.275683,MMD,128,2,2,128,1.7155633771439924,0.06559681528631293,0.1323688197173348,2,64,16,0.41273583753122156,0.0036730042224477986,64,64,0.2609833315313163,0.47309313781745865,meegnet,1.857324587971551e-05,PRUNED
126,0.25,2025-06-14 04:42:10.534291,2025-06-14 04:43:05.614394,0 days 00:00:55.080103,MMD,128,2,2,32,4.686347475685896,0.05896113337577655,0.3615837572222349,2,64,16,2.6128657868498784,0.0067216793111062505,64,64,0.488109971027927,0.3423290060909864,attention,5.2203299613371746e-05,PRUNED
28,0.25,2025-06-13 20:59:19.858129,2025-06-13 21:01:02.910627,0 days 00:01:43.052498,CORAL,128,2,1,128,0.2538971273309753,0.0999760073650306,0.13692062208686925,4,64,8,0.43302718576544014,0.007436054948988529,16,128,0.2951422888816231,1.5691750909469264,eegnet,5.883946109209755e-05,PRUNED
35,0.25,2025-06-13 21:31:49.732761,2025-06-13 21:33:13.811110,0 days 00:01:24.078349,MMD,128,2,1,64,0.305838009727094,0.08200119119243356,0.17526607411284162,4,32,8,4.313202665985224,0.007090539360442262,64,128,0.34054796473535126,0.34471355508465235,meegnet,2.557662921714713e-05,PRUNED
33,0.25,2025-06-13 21:29:35.065287,2025-06-13 21:31:17.663740,0 days 00:01:42.598453,Mixup,128,2,1,64,0.15374244923805028,0.036827029674649715,0.2129181762494342,4,64,32,6.437037347334646,0.004647939629981939,16,128,0.27564784424764077,2.9417160531645683,eegnet,3.8903427647217934e-05,PRUNED
59,0.25,2025-06-13 22:54:05.536871,2025-06-13 22:55:37.265033,0 days 00:01:31.728162,Mixup,128,2,2,64,0.17109634334282026,0.026809337593774598,0.19182790828290378,2,64,32,0.7173620105951599,0.00044302839416828345,64,32,0.2504747306194137,0.5978465431078961,eegnet,2.9156147016995224e-05,PRUNED
78,0.25,2025-06-13 23:51:45.501036,2025-06-13 23:53:25.016525,0 days 00:01:39.515489,CORAL,64,4,1,128,0.2328951683733953,0.042580222143890484,0.19880460761035576,4,64,32,0.32086734050435883,0.0028764540599171898,16,64,0.24709821529223597,7.473449932305127,meegnet,2.4363688450097105e-05,PRUNED
79,0.25,2025-06-13 23:53:25.064503,2025-06-13 23:56:02.800287,0 days 00:02:37.735784,CORAL,128,2,2,32,9.434038944908412,0.03001831094240423,0.14944125122372567,2,64,32,0.5540621396093715,0.007471836151643386,32,128,0.3668564926074117,0.7746573556364025,attention,8.969324786613346e-05,PRUNED
49,0.25,2025-06-13 22:33:15.260980,2025-06-13 22:34:36.106777,0 days 00:01:20.845797,CORAL,128,2,1,32,0.32855342658217895,0.023638321771433775,0.20984558766082917,2,32,32,9.931257602084822,0.0008395298255290513,16,64,0.27291239330800987,7.1710395195289225,meegnet,3.342069549593877e-05,PRUNED
45,0.25,2025-06-13 22:16:54.559284,2025-06-13 22:19:12.271323,0 days 00:02:17.712039,CORAL,128,2,1,128,0.3693165884552132,0.026816307881935866,0.17253446353257873,4,32,32,1.6832673909921387,0.00016334059402007954,32,128,0.2422465770340837,1.5987043321577765,eegnet,8.07352798411972e-05,PRUNED
40,0.25,2025-06-13 21:55:49.478194,2025-06-13 21:57:12.340911,0 days 00:01:22.862717,Mixup,128,4,2,32,0.53223354689528,0.025259111496405456,0.13312677738124237,4,64,16,0.9773005750195335,0.0011572530668017128,64,128,0.2549731267153749,0.1862327599249273,meegnet,7.715695520957151e-06,PRUNED
39,0.25,2025-06-13 21:54:27.958058,2025-06-13 21:55:49.458695,0 days 00:01:21.500637,MMD,128,2,3,32,2.1729760063373593,0.018728790657515742,0.20647216232638393,4,64,32,0.10444494736680014,0.0009926827019280755,16,64,0.3671330823061776,0.2560724101024677,attention,2.025512244798489e-05,PRUNED
48,0.25,2025-06-13 22:31:52.025140,2025-06-13 22:33:15.254334,0 days 00:01:23.229194,ERM,128,2,3,64,5.882192689815366,0.03069804203691053,0.16299998804783494,2,64,8,0.6704095211275446,0.0015712519779126281,16,128,0.389212924039264,1.303027862999393,eegnet,7.196732137327216e-06,PRUNED
65,0.25,2025-06-13 23:16:44.966611,2025-06-13 23:18:26.302418,0 days 00:01:41.335807,CORAL,64,2,2,128,0.18160329387241533,0.02200513337415486,0.20621065324615506,2,64,8,4.775596279270473,0.005029409321931604,16,64,0.26335961184579104,0.9459741146158723,eegnet,1.952142920074526e-05,PRUNED
66,0.25,2025-06-13 23:18:26.310335,2025-06-13 23:19:47.347609,0 days 00:01:21.037274,ERM,64,2,1,64,0.11441718486171988,0.013568628227503753,0.24973173989924657,2,64,32,0.6109327859368607,0.007948649878528136,16,128,0.3207397172314564,0.8418201797137747,attention,4.229584220198898e-06,PRUNED
57,0.25,2025-06-13 22:51:14.030654,2025-06-13 22:52:35.950353,0 days 00:01:21.919699,IRM,64,2,2,64,0.22276237082466493,0.03861301843600426,0.37589893697350196,2,64,32,8.734266895889448,0.0016943741939584648,16,64,0.14227962456050688,0.46119510024616905,attention,0.00010715011943365389,PRUNED
99,0.25,2025-06-14 01:48:53.678467,2025-06-14 01:51:35.335175,0 days 00:02:41.656708,MMD,128,4,1,32,2.479584111397968,0.07733808718329441,0.15272938636654504,2,64,16,0.28207560681319344,0.003059844028205233,64,128,0.27893919182932625,0.16097226473749088,attention,3.656428358288689e-05,PRUNED
131,0.25,2025-06-14 04:51:59.219680,2025-06-14 04:53:04.146160,0 days 00:01:04.926480,ERM,128,2,2,128,1.0356802892718915,0.08450314016532799,0.3273273429351171,2,64,8,0.7104470188482191,0.005457250410717584,64,64,0.4585611237051579,0.4529988447058879,eegnet,8.907252018810264e-05,PRUNED
127,0.25,2025-06-14 04:43:05.622420,2025-06-14 04:44:00.089110,0 days 00:00:54.466690,GroupDRO,128,2,2,32,1.7443060015235925,0.046210664054442525,0.4150246709514583,2,64,16,0.573497782548833,0.0038666056226632503,64,64,0.44447052533646614,0.3947867393406299,meegnet,3.928765484421067e-05,PRUNED
98,0.25,2025-06-14 01:47:59.460997,2025-06-14 01:48:53.656637,0 days 00:00:54.195640,MMD,128,4,1,32,3.1978911039586393,0.0851706718313941,0.13772359893056538,2,64,16,0.8593609746947046,0.003619800443242295,64,128,0.2488955057789786,0.24461791649957906,meegnet,1.363953282950987e-05,PRUNED
146,0.24609375,2025-06-14 06:02:36.835920,2025-06-14 06:03:05.207021,0 days 00:00:28.371101,MMD,128,2,2,32,2.09770794080069,0.0714421404677069,0.1211089335079051,2,64,16,6.433874400368016,0.0034238632981399004,64,128,0.282308364120566,0.6020931451564474,eegnet,1.3256568715616099e-05,PRUNED
6,0.24609375,2025-06-13 18:27:58.179555,2025-06-13 18:32:03.099865,0 days 00:04:04.920310,GroupDRO,128,4,1,64,9.500392611980372,0.05597032676427719,0.15933349885272668,4,32,32,0.17681906775328884,0.00046777898045663533,32,128,0.41393587272634325,6.078867835088094,meegnet,1.31935402973792e-06,PRUNED
34,0.24609375,2025-06-13 21:31:17.670992,2025-06-13 21:31:49.715853,0 days 00:00:32.044861,CORAL,128,2,1,32,0.13253684947838537,0.034507967054399305,0.2773052730701263,4,64,32,1.065375071689228,0.003881070022183915,16,128,0.23575384340932964,5.30011143581411,eegnet,0.00032254367804568476,PRUNED
41,0.24609375,2025-06-13 21:57:12.360014,2025-06-13 21:57:43.159489,0 days 00:00:30.799475,CORAL,128,2,1,32,0.13667129206392778,0.03138151528652296,0.16186107919097806,4,64,32,0.41129928994131254,0.0034889288469137627,16,128,0.22082831194495625,9.865384828783691,eegnet,3.145748821752038e-05,PRUNED
107,0.2421875,2025-06-14 02:44:49.664241,2025-06-14 02:45:17.563707,0 days 00:00:27.899466,MMD,128,2,2,32,1.4301557407613044,0.06381184186997416,0.12879947503050934,2,64,16,0.5708059188742524,0.004116466946974112,64,64,0.44041675106096406,0.5666609561884806,eegnet,1.816028730688912e-05,PRUNED
134,0.2421875,2025-06-14 05:05:44.197410,2025-06-14 05:06:13.654252,0 days 00:00:29.456842,MMD,128,2,2,32,8.516426172820523,0.09517958817199225,0.43632570590687303,2,64,16,5.953471273598811,0.003151315177852251,32,64,0.22822153276169635,0.21035448606610624,eegnet,4.644238053686835e-05,PRUNED
100,0.23828125,2025-06-14 01:51:35.354605,2025-06-14 01:52:03.229494,0 days 00:00:27.874889,MMD,128,4,2,32,5.903426479903938,0.05437432898002491,0.1093890461864986,2,64,16,0.6633803529290655,0.001534854981563918,64,32,0.2678936343739317,0.2684165342168355,eegnet,4.826433049516835e-05,PRUNED
68,0.23828125,2025-06-13 23:21:26.834269,2025-06-13 23:22:48.191594,0 days 00:01:21.357325,IRM,128,2,2,32,0.2073532804678072,0.03322173145160537,0.18631249078672724,2,64,32,6.003255480625296,0.0030943024070091726,16,128,0.23469848094538193,3.558386891569224,meegnet,6.727245254328738e-05,PRUNED
80,0.23828125,2025-06-13 23:56:02.808856,2025-06-13 23:57:40.519984,0 days 00:01:37.711128,ERM,128,2,3,64,0.3838537899899429,0.06081387362086589,0.13250452208156696,4,64,32,6.754905762317949,0.0024886143253875347,16,128,0.33537772222922746,0.3387284416974102,eegnet,1.2171317971093726e-05,PRUNED
10,0.234375,2025-06-13 18:53:18.855382,2025-06-13 18:55:49.824198,0 days 00:02:30.968816,IRM,64,2,3,64,0.3922293402551964,0.057097222698608674,0.395989776686299,2,64,32,8.843217146840606,0.008787544287209048,16,32,0.22638778157228656,0.32255830352117787,eegnet,5.210433510783697e-06,PRUNED
136,0.2265625,2025-06-14 05:10:27.735308,2025-06-14 05:10:56.137505,0 days 00:00:28.402197,MMD,128,2,3,32,2.6993204035083194,0.09368982192123042,0.1267277089419538,2,32,16,9.024626870997805,0.004391321198591449,32,64,0.25260634331083365,0.4324776696818058,eegnet,2.9820623790754435e-05,PRUNED
37,0.125,2025-06-13 21:48:47.574538,2025-06-13 21:49:15.502307,0 days 00:00:27.927769,GroupDRO,128,4,1,32,1.255829062162819,0.029205537793695155,0.13078896177366356,4,64,16,0.5402589556744957,0.002357897865596392,64,64,0.2874526962257724,4.294473568442268,meegnet,5.7619237913998295e-05,PRUNED
