number,value,datetime_start,datetime_complete,duration,params_algorithm,params_batch_size,params_d_model,params_dropout,params_irm_lambda,params_kernel_length,params_lr,params_mixup_alpha,params_n_filters_1,params_n_filters_2,params_n_head,params_n_layers,params_net_architecture,params_weight_decay,state
73,0.4375,2025-06-12 02:06:38.070885,2025-06-12 02:13:04.620461,0 days 00:06:26.549576,IRM,32,64,0.4113899935568277,0.3201823401353545,64,0.0008268037656657175,,8,16,2,2,eegnet,0.0004429582181998361,PRUNED
82,0.4375,2025-06-12 03:04:57.696466,2025-06-12 03:14:37.938767,0 days 00:09:40.242301,Mixup,32,64,0.46806063400549874,,64,0.0008268670732531692,0.17741706969429616,8,16,2,2,eegnet,0.0009163827558195026,PRUNED
125,0.435546875,2025-06-12 07:10:33.692490,2025-06-12 07:16:58.040564,0 days 00:06:24.348074,IRM,32,64,0.3696876117744675,0.6249605220267839,64,0.001482602641915831,,8,16,2,2,eegnet,0.0006935669726826849,PRUNED
64,0.435546875,2025-06-12 01:20:00.315378,2025-06-12 01:26:25.496706,0 days 00:06:25.181328,IRM,32,64,0.3811497209665002,2.188726756728009,64,0.0007871931821661278,,8,16,2,2,eegnet,0.00041262163806569344,PRUNED
112,0.435546875,2025-06-12 06:14:03.965213,2025-06-12 06:20:15.318563,0 days 00:06:11.353350,IRM,32,64,0.4772316194378251,1.598864097118796,64,0.0012971908198040301,,8,16,2,2,eegnet,0.0008931175312042857,PRUNED
108,0.43359375,2025-06-12 05:50:29.741014,2025-06-12 05:57:24.635703,0 days 00:06:54.894689,IRM,32,64,0.46326558338317153,2.432655246494205,64,0.0019682981990667143,,8,16,2,2,eegnet,0.0007272704435854814,PRUNED
62,0.431640625,2025-06-12 01:00:43.674043,2025-06-12 01:07:06.799844,0 days 00:06:23.125801,IRM,32,64,0.428526362303595,0.31219277277812124,64,0.0009598617286008335,,8,16,2,2,eegnet,0.0005856583760075715,PRUNED
24,0.42578125,2025-06-11 21:08:20.671711,2025-06-11 21:17:03.099131,0 days 00:08:42.427420,IRM,32,64,0.3043775968658516,2.3079055018192616,64,0.00243924085594054,,8,16,2,2,eegnet,0.00022050101583547254,PRUNED
4,0.421875,2025-06-11 18:02:59.087106,2025-06-11 18:19:32.111969,0 days 00:16:33.024863,Mixup,64,128,0.13186429546308231,,64,0.000184364304750997,0.23719633017687514,16,64,4,2,eegnet,4.728649729166902e-06,COMPLETE
114,0.41796875,2025-06-12 06:23:50.770950,2025-06-12 06:29:31.674916,0 days 00:05:40.903966,IRM,32,64,0.4704682395011712,1.8568127357720545,64,0.0007465752299533554,,8,16,2,2,eegnet,0.00018053032591068582,PRUNED
101,0.416015625,2025-06-12 05:01:57.428323,2025-06-12 05:08:49.436214,0 days 00:06:52.007891,IRM,32,64,0.4537967009678859,3.7195495916908086,64,0.0016541485325251564,,8,16,2,2,eegnet,0.0006130787985682082,PRUNED
128,0.4140625,2025-06-12 07:23:20.127096,2025-06-12 07:29:11.757501,0 days 00:05:51.630405,IRM,32,128,0.28832219858591224,1.50345688511616,64,0.000679653627293688,,8,16,2,2,eegnet,0.0004522596825386423,PRUNED
43,0.41015625,2025-06-11 23:10:08.930330,2025-06-11 23:16:03.682012,0 days 00:05:54.751682,IRM,32,64,0.4320414093486745,0.8450193496639715,64,0.0006457357013113146,,8,16,2,2,eegnet,0.00026118047222305733,PRUNED
50,0.408203125,2025-06-11 23:47:20.639962,2025-06-11 23:53:35.631991,0 days 00:06:14.992029,IRM,32,64,0.4831785051165548,1.1930221401240462,32,0.00072523380866058,,8,64,4,3,eegnet,8.491187602648877e-06,PRUNED
33,0.404296875,2025-06-11 22:09:51.596340,2025-06-11 22:15:32.114829,0 days 00:05:40.518489,IRM,32,64,0.3764393341564457,0.8593205499853771,64,0.0005954393060886977,,8,16,2,2,eegnet,0.00030329568469261644,PRUNED
109,0.400390625,2025-06-12 05:57:24.644292,2025-06-12 06:02:07.829992,0 days 00:04:43.185700,Mixup,32,64,0.4819848121612319,,64,0.000629587438385136,0.2883166180980427,8,16,2,2,eegnet,0.0005847842591776796,PRUNED
3,0.390625,2025-06-11 17:55:10.564327,2025-06-11 18:02:59.075316,0 days 00:07:48.510989,ERM,32,64,0.22828351562495947,,64,0.006707879901623354,,32,32,4,3,eegnet,3.814599171460677e-06,COMPLETE
13,0.3828125,2025-06-11 19:15:45.221846,2025-06-11 19:23:12.111133,0 days 00:07:26.889287,ERM,32,64,0.2717052046023079,,32,0.00038022660016569134,,8,32,2,1,eegnet,0.0001325123446988293,PRUNED
10,0.376953125,2025-06-11 18:52:00.128660,2025-06-11 18:58:16.143773,0 days 00:06:16.015113,IRM,32,64,0.35891924217678334,0.2176323801188622,32,0.00013752456418032397,,8,16,2,1,attention,0.00037939291830254467,COMPLETE
124,0.376953125,2025-06-12 07:06:50.115225,2025-06-12 07:10:33.683600,0 days 00:03:43.568375,IRM,32,64,0.31358947830061057,0.36917900984555596,64,0.001058316051811607,,8,16,2,2,eegnet,1.2413522325748171e-05,PRUNED
113,0.375,2025-06-12 06:20:15.326729,2025-06-12 06:23:50.760444,0 days 00:03:35.433715,IRM,32,64,0.4572687933492119,2.881354658201096,64,0.0010523323762833563,,8,16,2,2,eegnet,0.00042410787648937767,PRUNED
115,0.373046875,2025-06-12 06:29:31.684313,2025-06-12 06:33:07.823548,0 days 00:03:36.139235,IRM,32,64,0.4322544217022005,2.226991151762538,64,0.0011443210934317138,,8,16,2,2,eegnet,0.00026799114149662803,PRUNED
131,0.3671875,2025-06-12 07:39:12.502652,2025-06-12 07:42:48.332470,0 days 00:03:35.829818,IRM,32,64,0.14934987586648193,1.2742925585578524,64,0.0014107552327803246,,8,16,2,2,eegnet,0.0006361739950309083,PRUNED
55,0.365234375,2025-06-12 00:28:38.335812,2025-06-12 00:32:18.629523,0 days 00:03:40.293711,IRM,32,64,0.3474687624013812,0.18304765981589802,64,0.0008995294485220184,,8,16,2,2,eegnet,0.0005592384962854697,PRUNED
92,0.365234375,2025-06-12 04:05:38.907362,2025-06-12 04:09:14.085556,0 days 00:03:35.178194,IRM,32,64,0.4390200762358564,0.3626460620430998,64,0.0006890121521169776,,8,16,2,2,eegnet,0.0006013576225553727,PRUNED
67,0.36328125,2025-06-12 01:38:45.116202,2025-06-12 01:42:29.453757,0 days 00:03:44.337555,IRM,32,64,0.4000966026679532,1.400026434391946,64,0.000604094201811264,,8,16,2,2,eegnet,0.0003627830801740354,PRUNED
133,0.357421875,2025-06-12 07:45:54.561773,2025-06-12 07:49:31.617802,0 days 00:03:37.056029,IRM,32,64,0.40636713225214083,1.0583927713431032,64,0.0008144139183795616,,8,16,2,2,eegnet,0.0007576029646446269,PRUNED
26,0.31640625,2025-06-11 21:21:07.609779,2025-06-11 21:24:43.853463,0 days 00:03:36.243684,IRM,32,64,0.24354231929005618,0.1152947925588707,64,0.00027047476440414815,,8,16,2,3,eegnet,0.00023370357729028018,PRUNED
84,0.314453125,2025-06-12 03:21:14.818183,2025-06-12 03:24:49.077158,0 days 00:03:34.258975,IRM,32,64,0.45956950758726595,0.40065641392873935,64,0.00010142491537769196,,8,16,2,2,eegnet,0.0006890695974243905,PRUNED
69,0.30859375,2025-06-12 01:45:39.703572,2025-06-12 01:50:29.193991,0 days 00:04:49.490419,IRM,32,64,0.44472194043312585,0.4887964233259541,64,0.0001324883585649156,,8,16,2,2,eegnet,1.9888147892733572e-05,PRUNED
132,0.287109375,2025-06-12 07:42:48.341196,2025-06-12 07:45:54.553201,0 days 00:03:06.212005,IRM,32,64,0.397408304162822,0.9698234931866716,64,0.0011046384124642383,,8,16,2,2,eegnet,0.0005345575242734315,PRUNED
99,0.28515625,2025-06-12 04:55:25.819648,2025-06-12 04:58:29.929451,0 days 00:03:04.109803,IRM,32,64,0.4657177198310478,1.3007269662836518,64,0.0010967281730661078,,8,16,2,2,eegnet,0.0007513698940486859,PRUNED
87,0.28515625,2025-06-12 03:40:12.959430,2025-06-12 03:43:17.272070,0 days 00:03:04.312640,IRM,32,128,0.4917795667056953,0.5577467947598767,64,0.0009653979155201755,,8,16,2,2,eegnet,0.0004100249106808369,PRUNED
98,0.28125,2025-06-12 04:52:23.435334,2025-06-12 04:55:25.811275,0 days 00:03:02.375941,IRM,32,64,0.4932809682367014,2.028553155067553,64,0.0013645483927436795,,8,16,2,2,eegnet,0.0004986320677008893,PRUNED
102,0.279296875,2025-06-12 05:08:49.445274,2025-06-12 05:12:00.669249,0 days 00:03:11.223975,IRM,32,64,0.4778824216896221,1.5908351935393772,64,0.0012476234904279155,,8,16,2,2,eegnet,0.0004960052689387033,PRUNED
116,0.279296875,2025-06-12 06:33:07.832607,2025-06-12 06:36:13.000647,0 days 00:03:05.168040,IRM,32,64,0.4998844189408879,1.388248444309175,64,0.0013369386106202269,,8,16,2,2,eegnet,0.0005058066350283077,PRUNED
122,0.27734375,2025-06-12 06:55:39.100179,2025-06-12 06:58:51.073186,0 days 00:03:11.973007,IRM,32,64,0.4196525506756831,1.0408330812389321,64,0.001299363681827601,,8,16,2,2,eegnet,0.0004892278599612948,PRUNED
74,0.275390625,2025-06-12 02:13:04.628902,2025-06-12 02:16:17.679695,0 days 00:03:13.050793,IRM,32,64,0.45208652298115676,0.17157374838463835,64,0.0014160975200116653,,8,16,2,2,eegnet,0.0005003944917938689,PRUNED
71,0.2734375,2025-06-12 01:54:17.329617,2025-06-12 01:57:32.067186,0 days 00:03:14.737569,IRM,32,64,0.2562467030427703,1.7416348720491008,32,0.0027999011659179153,,16,16,2,3,eegnet,0.0002474188578608521,PRUNED
0,0.2734375,2025-06-11 17:28:11.756705,2025-06-11 17:33:38.528572,0 days 00:05:26.771867,IRM,64,128,0.3297954176665131,2.115457360895532,64,0.009803501659874321,,32,32,4,1,meegnet,4.2069008817779304e-05,COMPLETE
25,0.271484375,2025-06-11 21:17:03.107843,2025-06-11 21:21:07.601966,0 days 00:04:04.494123,Mixup,32,64,0.3861275330558362,,64,0.0050651053843173074,0.4949029275670637,8,16,2,2,eegnet,0.0009629943325052688,PRUNED
65,0.271484375,2025-06-12 01:26:25.504829,2025-06-12 01:29:38.610623,0 days 00:03:13.105794,IRM,32,64,0.41396130458319264,0.23909103516690347,64,0.0014721002990119411,,8,16,2,2,eegnet,0.00028353956695605775,PRUNED
106,0.26953125,2025-06-12 05:44:11.921451,2025-06-12 05:47:21.663018,0 days 00:03:09.741567,IRM,32,64,0.4921171675501286,1.9165917044533176,64,0.0014765341022929747,,8,16,2,2,eegnet,0.00036017595116654165,PRUNED
35,0.263671875,2025-06-11 22:30:30.782160,2025-06-11 22:33:42.366087,0 days 00:03:11.583927,IRM,64,128,0.469863178668097,1.709764156269955,64,0.0013410653798661101,,8,16,2,3,eegnet,0.0007286086450620874,PRUNED
110,0.26171875,2025-06-12 06:02:07.838813,2025-06-12 06:05:19.530344,0 days 00:03:11.691531,IRM,32,64,0.4423202136776837,1.2792480055936164,64,0.0005356353818112918,,16,16,2,2,eegnet,0.00039094145074135847,PRUNED
127,0.26171875,2025-06-12 07:20:08.679801,2025-06-12 07:23:20.119331,0 days 00:03:11.439530,IRM,32,64,0.2083671480939677,1.1676923560730337,64,0.001242901552181911,,8,16,2,2,eegnet,0.00030913604526367123,PRUNED
60,0.259765625,2025-06-12 00:54:00.730136,2025-06-12 00:57:12.235905,0 days 00:03:11.505769,IRM,32,64,0.29713093853055844,0.39187386868600305,64,0.0015580287064369494,,8,16,2,2,eegnet,0.0005432115391307259,PRUNED
134,0.255859375,2025-06-12 07:49:31.626289,2025-06-12 07:52:36.618848,0 days 00:03:04.992559,IRM,32,64,0.43259224171923005,0.3380580590590859,64,0.003808968038176428,,8,16,2,2,eegnet,0.0003504103562253437,PRUNED
7,0.255859375,2025-06-11 18:31:04.920605,2025-06-11 18:35:51.545804,0 days 00:04:46.625199,ERM,64,128,0.45351097713469735,,32,0.000567837675940162,,16,64,4,2,meegnet,1.1400473195398207e-05,COMPLETE
120,0.255859375,2025-06-12 06:48:52.563255,2025-06-12 06:52:27.374363,0 days 00:03:34.811108,Mixup,32,64,0.46805551148055624,,64,0.0015729950673125605,0.16680702068424189,32,64,2,2,eegnet,0.0008155813719765381,PRUNED
51,0.255859375,2025-06-11 23:53:35.640436,2025-06-11 23:56:45.369827,0 days 00:03:09.729391,IRM,64,64,0.44075645465968155,4.99933644568699,64,0.0015971524311102177,,8,16,2,2,eegnet,0.00044860528392169305,PRUNED
89,0.25390625,2025-06-12 03:50:26.963698,2025-06-12 03:53:54.071036,0 days 00:03:27.107338,Mixup,32,64,0.49962348488784125,,32,0.0013868328931793625,0.29120873272509007,16,16,2,2,eegnet,0.00073528458343718,PRUNED
130,0.25390625,2025-06-12 07:35:35.888789,2025-06-12 07:39:12.494202,0 days 00:03:36.605413,Mixup,32,64,0.3801219086174685,,64,0.0008850624997442568,0.37426126266582094,16,16,4,2,eegnet,0.0008441953349198955,PRUNED
79,0.25390625,2025-06-12 02:54:25.613908,2025-06-12 02:57:59.131636,0 days 00:03:33.517728,Mixup,32,128,0.4991882955123428,,64,0.0018138274688196897,0.3154088963072611,8,16,2,2,eegnet,1.066762302814022e-06,PRUNED
117,0.251953125,2025-06-12 06:36:13.009118,2025-06-12 06:39:15.642746,0 days 00:03:02.633628,IRM,32,64,0.48969321674812805,0.2290580559765806,64,0.0017715058499816899,,8,32,2,2,meegnet,0.0006963874159179629,PRUNED
36,0.251953125,2025-06-11 22:33:42.373753,2025-06-11 22:37:01.789345,0 days 00:03:19.415592,ERM,32,128,0.4553232128953012,,64,0.0018937014301657507,,32,32,2,2,eegnet,0.0001539155068352734,PRUNED
80,0.251953125,2025-06-12 02:57:59.140484,2025-06-12 03:01:35.752837,0 days 00:03:36.612353,Mixup,32,64,0.47524074645476483,,64,0.002142624272988433,0.1817353675160422,32,16,4,2,eegnet,0.0008322100707506448,PRUNED
141,0.251953125,2025-06-12 08:30:17.280273,2025-06-12 08:33:29.829120,0 days 00:03:12.548847,IRM,32,64,0.49977844632492774,2.097960694034299,64,0.0013843796821598107,,32,16,2,2,eegnet,0.0007713612226752908,PRUNED
2,0.25,2025-06-11 17:50:44.905563,2025-06-11 17:55:10.552618,0 days 00:04:25.647055,ERM,32,128,0.1682828961715933,,64,0.0019099571714616217,,32,32,4,3,meegnet,5.947991324177603e-05,COMPLETE
12,0.25,2025-06-11 19:11:33.282908,2025-06-11 19:15:45.205298,0 days 00:04:11.922390,IRM,32,64,0.3930835764713668,0.5049873955550546,32,0.000397078402185803,,8,64,2,3,attention,0.0001999041640135278,COMPLETE
8,0.25,2025-06-11 18:35:51.555494,2025-06-11 18:42:25.966867,0 days 00:06:34.411373,Mixup,64,128,0.1570463099680641,,32,0.008380028359611252,0.12170528107438346,32,32,4,1,meegnet,1.5889113595499116e-05,PRUNED
6,0.25,2025-06-11 18:26:26.664826,2025-06-11 18:31:04.909546,0 days 00:04:38.244720,IRM,64,64,0.4913350242566953,9.179221530300044,64,0.006761664219524008,,32,64,4,2,eegnet,1.6898737008443131e-06,COMPLETE
5,0.25,2025-06-11 18:19:32.122317,2025-06-11 18:26:26.657068,0 days 00:06:54.534751,Mixup,64,128,0.4895896886278168,,64,0.0020625075863146764,0.2184665147156909,16,16,4,1,eegnet,6.688131525368405e-06,PRUNED
16,0.25,2025-06-11 19:55:10.098119,2025-06-11 19:59:22.234882,0 days 00:04:12.136763,IRM,32,64,0.2856035460850876,3.2483329334905493,64,0.002949379892692011,,8,16,2,2,attention,0.0009034371930964342,COMPLETE
19,0.25,2025-06-11 20:20:40.428526,2025-06-11 20:24:52.213839,0 days 00:04:11.785313,IRM,32,64,0.36197293596585123,5.374959943509179,64,0.0036900563745370174,,8,16,2,2,attention,0.00036742986733121185,COMPLETE
68,0.25,2025-06-12 01:42:29.461819,2025-06-12 01:45:39.693520,0 days 00:03:10.231701,IRM,32,64,0.4216669326289215,2.5227344740097704,64,0.001061876075017192,,32,16,2,2,attention,0.00011090189423020752,PRUNED
49,0.25,2025-06-11 23:44:15.447402,2025-06-11 23:47:20.631566,0 days 00:03:05.184164,ERM,32,64,0.27652023080257393,,64,0.002077227797718664,,32,16,2,2,attention,8.471398193160554e-05,PRUNED
29,0.25,2025-06-11 21:37:08.867114,2025-06-11 21:40:48.137164,0 days 00:03:39.270050,IRM,32,64,0.20298738560473145,1.424844485285987,64,0.004289224053089181,,8,16,2,1,meegnet,2.281898009592384e-05,PRUNED
28,0.25,2025-06-11 21:33:27.830958,2025-06-11 21:37:08.858723,0 days 00:03:41.027765,IRM,32,64,0.32760998202201463,4.168486466092354,64,0.0007377662573467696,,16,16,2,2,attention,0.00010088987918641462,PRUNED
40,0.25,2025-06-11 22:48:30.677535,2025-06-11 22:51:52.463380,0 days 00:03:21.785845,ERM,32,128,0.40398367727985074,,32,0.0024458131583995845,,8,32,4,2,eegnet,0.0007985530177670424,PRUNED
30,0.25,2025-06-11 21:40:48.144821,2025-06-11 21:44:48.762593,0 days 00:04:00.617772,Mixup,32,64,0.3459408592390238,,64,0.0023942586453100704,0.455102143810752,32,16,2,2,meegnet,4.782241589590812e-05,PRUNED
38,0.25,2025-06-11 22:40:26.557969,2025-06-11 22:44:39.944300,0 days 00:04:13.386331,Mixup,32,128,0.31590381004248835,,64,0.0011707288622758258,0.37002565027569667,16,16,2,2,meegnet,2.2610677800370355e-06,PRUNED
39,0.25,2025-06-11 22:44:39.952114,2025-06-11 22:48:30.668197,0 days 00:03:50.716083,IRM,64,128,0.47672426305652105,2.658861215732272,64,0.0017282668579672623,,32,64,4,1,eegnet,0.00040987619055376964,PRUNED
59,0.25,2025-06-12 00:50:50.180602,2025-06-12 00:54:00.720940,0 days 00:03:10.540338,ERM,32,128,0.3973725747893597,,32,0.0006844638006404606,,8,32,2,2,eegnet,0.00018861906858600862,PRUNED
61,0.25,2025-06-12 00:57:12.244199,2025-06-12 01:00:43.665030,0 days 00:03:31.420831,Mixup,32,64,0.33745191617563797,,64,0.001260731509659133,0.109718944636433,8,64,4,1,meegnet,0.0007951432797995812,PRUNED
107,0.25,2025-06-12 05:47:21.671822,2025-06-12 05:50:29.731761,0 days 00:03:08.059939,IRM,32,128,0.498813731662584,2.2033737362619235,32,0.0011478730584576268,,8,16,2,2,attention,0.00022381369496679516,PRUNED
100,0.25,2025-06-12 04:58:29.938604,2025-06-12 05:01:57.414157,0 days 00:03:27.475553,IRM,64,64,0.48593987923910686,1.6985058111068618,64,0.0009056388136343404,,32,64,2,2,eegnet,0.0008849141501982094,PRUNED
78,0.25,2025-06-12 02:50:54.040383,2025-06-12 02:54:25.605470,0 days 00:03:31.565087,Mixup,32,64,0.4868568986344902,,64,0.0012617277068269013,0.2447131054273785,8,32,2,2,meegnet,0.0008052645553915932,PRUNED
70,0.25,2025-06-12 01:50:29.202496,2025-06-12 01:54:17.320850,0 days 00:03:48.118354,IRM,64,128,0.35920944663661764,0.7220265867487983,64,0.0017559589694947128,,8,16,2,2,eegnet,0.000644059302676041,PRUNED
47,0.25,2025-06-11 23:32:21.686884,2025-06-11 23:35:53.442006,0 days 00:03:31.755122,Mixup,64,64,0.40497385666579605,,32,0.0009299452695613493,0.3497999243651131,16,16,4,2,meegnet,0.0009829544763304582,PRUNED
57,0.25,2025-06-12 00:39:07.749059,2025-06-12 00:42:15.984130,0 days 00:03:08.235071,IRM,32,64,0.36723771844496994,2.9078916515771973,64,0.0004882653907563821,,8,16,2,2,attention,0.0003663376518283543,PRUNED
81,0.25,2025-06-12 03:01:35.761068,2025-06-12 03:04:57.688080,0 days 00:03:21.927012,Mixup,32,64,0.4854554923457116,,64,0.0015027781099739728,0.40993695585341927,8,64,2,2,attention,0.0006497316544646867,PRUNED
91,0.25,2025-06-12 04:02:36.990558,2025-06-12 04:05:38.898685,0 days 00:03:01.908127,IRM,32,128,0.4505361221091207,0.9424395340146833,64,0.002368643566636721,,8,32,2,2,meegnet,0.00031886675919452225,PRUNED
126,0.25,2025-06-12 07:16:58.048996,2025-06-12 07:20:08.670917,0 days 00:03:10.621921,IRM,32,64,0.4784473191180519,0.2628271411131119,32,0.0009447497310668417,,8,16,2,2,attention,0.0005647328774551384,PRUNED
121,0.25,2025-06-12 06:52:27.388572,2025-06-12 06:55:39.091614,0 days 00:03:11.703042,IRM,32,64,0.4582423553786768,0.19132605474363473,64,0.006175289823189795,,8,16,2,2,eegnet,0.00041369127250546415,PRUNED
86,0.25,2025-06-12 03:37:02.654585,2025-06-12 03:40:12.951259,0 days 00:03:10.296674,IRM,64,64,0.493788440204657,0.4667241351285349,64,0.009339896467967545,,8,16,2,2,eegnet,0.00034013649730427165,PRUNED
